TSW:12:030:C	And I'm only me when I'm with you
TSW:12:031:B	When I'm with anybody else
TSW:12:032:B	It's so hard to be myself
TSW:12:033:B	And only you can tell
TSW:12:034:C	That I'm only up when you're not down
TSW:12:035:C	Don't wanna fly if you're still on the ground
TSW:12:036:C	It's like no matter what I do
TSW:12:037:C	Well, you drive me crazy half the time
TSW:12:038:C	The other half, I'm only tryin' to
TSW:12:039:C	Let you know that what I feel is true
TSW:12:040:C	And I'm only me
TSW:12:041:C	Who I wanna be
TSW:12:042:C	Well, I'm only me when I'm with you
TSW:12:043:I	With you
TSW:12:044:I	Uh-huh-huh, yeah
TSW:13:001:V	She can't see the way your eyes
TSW:13:002:V	Light up when you smile
TSW:13:003:V	She'll never notice how you stop and stare
TSW:13:004:V	Whenever she walks by
TSW:13:005:C	And you can't see me wanting you the way you want her
TSW:13:006:C	But you are everything to me
TSW:13:007:C	And I just wanna show you
TSW:13:008:C	She don't even know you
TSW:13:009:C	She's never gonna love you like I want to
TSW:13:010:C	And you just see right through me
TSW:13:011:C	But if you only knew me
TSW:13:012:C	We could be a beautiful miracle, unbelievable
TSW:13:013:C	Instead of just invisible
TSW:13:014:C	Oh, yeah, oh
TSW:13:015:V	There's a fire inside of you
TSW:13:016:V	That can't help but shine through
TSW:13:017:V	She's never gonna see the light
TSW:13:018:V	No matter what you do
TSW:13:019:C	And all I think about is how to make you think of me
TSW:13:020:C	And everything that we could be
TSW:13:021:C	And I just wanna show you
TSW:13:022:C	She don't even know you
TSW:13:023:C	She's never gonna love you like I want to
TSW:13:024:C	And you just see right through me
TSW:13:025:C	But if you only knew me
TSW:13:026:C	We could be a beautiful miracle, unbelievable
TSW:13:027:C	Instead of just invisible
TSW:13:028:B	Like shadows in a faded light
TSW:13:029:B	Oh, we're invisible
TSW:13:030:B	I just wanna open your eyes
TSW:13:031:B	And make you realize
TSW:13:032:C	I just wanna show you
TSW:13:033:C	She don't even know you
TSW:13:034:C	Baby, let me love you, let me want you
TSW:13:035:C	You just see right through me
TSW:13:036:C	But if you only knew me
TSW:13:037:C	We could be a beautiful miracle, unbelievable
TSW:13:038:C	Instead of just invisible
TSW:13:039:C	Oh, yeah
TSW:13:040:I	She can't see the way your eyes
TSW:13:041:I	Light up when you smile
TSW:14:001:C	Why would you wanna break
TSW:14:002:C	A perfectly good heart?
