"Word"	"PoSes"	"FqBand"	"OECRank"	"CEFRLevel"	"NextWord1"	"NextWord2"	"NextWord3"	"Length"	"Reps"	"Count"	"Verse"	"Bridge"	"Chorus"	"Refrain"	"InOut"	"Albums"	"Songs"	"AlbumOccurrences"
"no"	"Arti, Inte, Adve, Pron, Dete"	2	56	"A1"	"i'm#11"	"oh#8"	"other#8"	2	63	338	60	42	192	0	44	13	113	"TSW#24, FER#48, SPN#16, RED#35, NEN#21, ...MANY"
"just"	"Adve, Adje"	1	57	"A1"	"wanna#32"	"like#25"	"made#19"	4	0	527	128	87	275	0	37	13	170	"TSW#33, FER#30, SPN#56, RED#69, NEN#44, ...MANY"
"him"	"Pron"	2	58	"A1"	"was#17"	"is#3"	"no#3"	3	0	99	38	6	50	0	5	12	38	"TSW#5, FER#1, SPN#8, RED#24, NEN#1, ...MANY"
"knew"	"Verb"	1	59	"A1"	"you'd#4"	"how#2"	"i'd#2"	4	0	104	24	15	58	0	7	11	39	"TSW#4, FER#12, SPN#13, RED#17, NEN#16, ...MANY"
"know"	"Verb, Noun"	1	59	"A1"	"is#28"	"how#22"	"why#20"	4	0	604	147	58	357	8	34	13	166	"TSW#32, FER#81, SPN#60, RED#116, NEN#42, ...MANY"
"knows"	"Verb"	1	59	"A1"	"how#2"	"too#2"	"why#2"	5	0	61	12	3	40	0	6	10	20	"TSW#5, FER#4, SPN#2, RED#24, NEN#1, ...MANY"
"take"	"Verb, Noun"	2	60	"A1"	"away#5"	"advice#4"	"them#4"	4	0	177	30	21	119	0	7	12	64	"TSW#14, FER#16, SPN#20, RED#27, NEN#16, ...MANY"
"takes"	"Verb, Noun"	2	60	"A1"	"everything#4"	"is#1"	"time#1"	5	0	17	8	1	5	3	0	9	12	"TSW#1, FER#2, SPN#3, RED#3, NEN#1, ...MANY"
"took"	"Verb"	2	60	"A1"	"him#3"	"everything#1"	"off#1"	4	0	50	26	7	15	0	2	11	33	"FER#10, SPN#4, RED#10, NEN#3, REP#4, ...MANY"
"people"	"Noun, Verb"	2	61	"A1"	"like#5"	"throw#4"	"are#2"	6	0	48	25	5	18	0	0	10	25	"FER#6, SPN#8, RED#2, NEN#13, REP#1, ...MANY"
"people's"	"Noun, Verb"	2	61	"A1"	"windows#4"	"toys#3"	""	8	0	7	0	0	7	0	0	2	2	"SPN#3, TPD#4"
"into"	"Prep"	2	62	"A1"	"place#6"	"good#3"	"mine#3"	4	0	105	32	17	49	2	5	13	56	"TSW#5, FER#12, SPN#4, RED#5, NEN#6, ...MANY"
"year"	"Noun"	2	63	"A1"	"'cause#3"	""	""	4	0	5	2	0	3	0	0	3	3	"FER#1, REP#1, TPD#3"
"years"	"Noun"	2	63	"A1"	"ago#3"	"old#2"	"before#1"	5	0	35	15	10	9	0	1	11	26	"TSW#2, FER#3, SPN#5, RED#4, REP#1, ...MANY"
"your"	"Arti, Pron"	1	64	"A1"	"face#53"	"eyes#49"	"name#42"	4	0	950	322	132	449	9	38	13	203	"TSW#27, FER#107, SPN#121, RED#104, NEN#70, ...MANY"
"good"	"Adje, Noun, Adve"	3	65	"A1"	"thing#8"	"heart#7"	"baby#6"	4	10	147	28	18	90	0	11	12	54	"TSW#8, FER#7, SPN#6, RED#9, NEN#26, ...MANY"
"some"	"Dete, Pron"	2	66	"A1"	"time#7"	"things#6"	"kind#4"	4	0	80	43	13	14	5	5	12	48	"TSW#1, FER#5, SPN#4, RED#11, NEN#2, ...MANY"
"could"	"Verb"	2	67	"A1"	"see#15"	"take#14"	"stay#12"	5	0	230	51	23	146	1	9	13	92	"TSW#11, FER#23, SPN#27, RED#34, NEN#30, ...MANY"
"them"	"Pron"	2	68	"A1"	"comin'#4"	"away#3"	"enough#2"	4	0	54	17	8	27	2	0	10	29	"TSW#2, FER#3, SPN#7, NEN#12, REP#11, ...MANY"
"them's"	"Pron"	2	68	"A1"	""	""	""	6	0	1	0	1	0	0	0	1	1	"TPD#1"
